N,E
50,0.500908
51,0.500576
51,0.499556
51,0.515232
51,0.535839
51,0.542069
51,0.549516
51,0.540631
50,0.561086
50,0.557825
50,0.568126
50,0.556726
50,0.551681
49,0.492333
48,0.427954
50,0.453458
50,0.446086
50,0.451435
50,0.435671
50,0.443353
50,0.465671
50,0.471117
50,0.479061
50,0.498601
50,0.506543
50,0.506381
50,0.517248
49,0.481114
50,0.514056
49,0.445790
53,0.505888
51,0.451698
49,0.417911
52,0.445500
51,0.448167
50,0.450219
50,0.430993
50,0.437005
51,0.449929
50,0.428850
50,0.450826
50,0.459462
50,0.492479
50,0.475446
50,0.490423
50,0.478875
50,0.501883
50,0.524315
50,0.539257
50,0.544892
50,0.555967
50,0.530536
50,0.528970
50,0.542043
50,0.551531
50,0.562418
50,0.543011
50,0.545897
49,0.487743
49,0.530901
51,0.561400
51,0.558629
51,0.563498
50,0.523848
50,0.576492
50,0.557169
50,0.529811
50,0.540490
50,0.542613
50,0.532762
50,0.532112
50,0.512239
50,0.521674
50,0.537552
50,0.523974
52,0.521691
46,0.456291
51,0.501865
51,0.486280
51,0.488424
50,0.456205
50,0.506374
50,0.520796
49,0.508094
50,0.496250
50,0.523430
50,0.521706
48,0.433664
49,0.459136
50,0.461803
50,0.473180
50,0.473580
50,0.477825
50,0.492559
51,0.519921
50,0.535395
50,0.548602
50,0.546487
51,0.553703
47,0.516833
48,0.552254
52,0.531685
52,0.564141
50,0.537181
50,0.574636
50,0.567425
50,0.449987
50,0.459261
49,0.421491
49,0.455766
50,0.486306
50,0.469333
50,0.480920
50,0.442635
50,0.440527
50,0.462284
50,0.459950
50,0.492005
50,0.488598
50,0.489030
50,0.497873
50,0.491605
50,0.479521
50,0.497064
50,0.523192
50,0.540154
50,0.553150
50,0.565214
50,0.559042
51,0.434900
49,0.391983
51,0.411251
50,0.381323
50,0.402987
50,0.410521
50,0.425829
50,0.432152
50,0.423160
50,0.419485
50,0.404289
49,0.392554
51,0.395555
51,0.394632
48,0.352652
49,0.380600
50,0.377916
50,0.400313
50,0.430780
50,0.429149
50,0.423348
50,0.451601
50,0.453208
50,0.464972
50,0.447078
50,0.435295
50,0.436893
50,0.440094
50,0.443143
50,0.474760
50,0.495882
50,0.466467
50,0.469964
51,0.469208
51,0.444342
50,0.448314
50,0.485885
51,0.484317
50,0.407635
50,0.504229
50,0.489850
50,0.482617
50,0.495180
50,0.536781
50,0.518519
50,0.525013
49,0.420862
49,0.452866
49,0.465929
51,0.498284
50,0.493233
50,0.525236
50,0.519706
50,0.530401
51,0.496440
50,0.510652
50,0.534569
50,0.489686
50,0.491318
50,0.491355
50,0.523864
49,0.509509
49,0.489504
49,0.531796
50,0.510148
49,0.471387
50,0.486994
50,0.497630
50,0.493942
50,0.477169
50,0.483940
50,0.474605
49,0.460767
49,0.461784
52,0.447888
51,0.414685
50,0.399480
50,0.400916
50,0.409073
50,0.418923
50,0.428782
50,0.417934
50,0.406045
50,0.393088
50,0.418203
51,0.433946
51,0.436684
51,0.432123
47,0.406969
49,0.513258
50,0.474187
50,0.452440
50,0.465767
50,0.467037
50,0.474075
50,0.478601
50,0.467617
50,0.483651
50,0.472572
50,0.478610
50,0.482121
50,0.466170
50,0.487145
48,0.487575
50,0.487278
50,0.490214
50,0.496965
50,0.474941
50,0.459135
50,0.449896
49,0.397106
51,0.432717
50,0.411388
50,0.429106
50,0.445135
51,0.463318
50,0.456668
50,0.479712
50,0.483820
50,0.490362
50,0.487226
51,0.496002
51,0.504200
50,0.501748
50,0.542129
50,0.554331
50,0.559885
50,0.582756
51,0.613951
49,0.595376
49,0.621794
50,0.713410
51,0.672834
50,0.680110
51,0.682456
49,0.698601
49,0.702874
50,0.726304
50,0.728968
50,0.727622
49,0.650065
53,0.686342
50,0.647814
50,0.704808
50,0.706311
49,0.648079
50,0.666291
50,0.662496
50,0.657997
50,0.658933
50,0.664790
51,0.672630
50,0.552874
50,0.593280
50,0.611218
49,0.605246
52,0.599680
51,0.554158
50,0.601874
50,0.624159
51,0.608510
51,0.610933
49,0.537467
49,0.564949
49,0.543818
50,0.575706
50,0.546447
50,0.527342
50,0.533838
50,0.540999
50,0.538459
50,0.542807
50,0.551817
50,0.571745
50,0.597416
50,0.616193
50,0.623596
50,0.594307
50,0.596027
49,0.567782
50,0.601515
50,0.644688
50,0.642715
49,0.521917
50,0.546609
50,0.544270
49,0.537417
49,0.553652
51,0.555233
51,0.546077
51,0.542719
