N,E
52,0.619717
52,0.645207
52,0.656525
53,0.674537
53,0.697919
54,0.697627
54,0.669402
54,0.680651
55,0.683123
56,0.693019
56,0.688178
56,0.681662
56,0.706239
56,0.715178
56,0.718138
54,0.573470
54,0.625514
54,0.646273
54,0.626178
53,0.579630
53,0.616472
54,0.612958
54,0.643726
56,0.599293
56,0.600540
56,0.609573
56,0.611763
56,0.614446
57,0.604039
57,0.603629
57,0.606034
55,0.417757
55,0.441022
55,0.451177
55,0.465578
55,0.472753
55,0.481849
55,0.487785
55,0.502763
55,0.501045
55,0.514520
55,0.516014
55,0.531004
55,0.495106
55,0.477601
55,0.457342
55,0.475262
55,0.476045
55,0.464694
55,0.464691
55,0.439754
54,0.420461
54,0.457386
54,0.436465
54,0.443065
54,0.445745
54,0.436769
54,0.434117
54,0.443413
54,0.448860
54,0.439326
55,0.436084
55,0.454595
55,0.466934
55,0.482124
56,0.483719
56,0.489422
56,0.494273
56,0.483957
56,0.462565
56,0.447533
56,0.450423
56,0.422517
55,0.416881
55,0.438720
55,0.434699
55,0.428355
55,0.411049
55,0.411293
55,0.424577
54,0.398965
54,0.419875
54,0.421746
54,0.429186
54,0.418289
54,0.436372
54,0.431275
54,0.437618
54,0.439502
54,0.430901
54,0.435928
54,0.424386
54,0.427995
54,0.439467
54,0.446078
54,0.449237
54,0.467054
54,0.486243
54,0.511800
54,0.519620
54,0.492321
54,0.493156
54,0.517960
54,0.521744
54,0.525326
54,0.517065
54,0.509968
54,0.527130
54,0.564774
54,0.559577
54,0.570200
54,0.560978
54,0.555969
54,0.555041
54,0.545838
54,0.537794
54,0.543447
55,0.536974
56,0.546702
56,0.567296
56,0.607257
56,0.620928
56,0.633624
57,0.621015
57,0.619510
57,0.622999
56,0.618046
57,0.616081
57,0.632897
57,0.618695
57,0.650652
57,0.675399
57,0.693764
56,0.591137
56,0.626357
57,0.614756
57,0.597551
57,0.622809
57,0.653960
57,0.648738
56,0.632722
56,0.658178
56,0.666219
56,0.677661
56,0.686119
56,0.671675
56,0.653035
55,0.608771
54,0.555625
54,0.552534
53,0.525281
53,0.523727
52,0.478860
52,0.519810
53,0.513518
52,0.486389
52,0.507790
52,0.519228
52,0.522023
52,0.488438
52,0.509229
52,0.530895
52,0.529693
53,0.529969
53,0.529961
55,0.519651
55,0.536327
55,0.522219
55,0.506501
55,0.508101
55,0.513402
55,0.488898
55,0.488830
55,0.494604
55,0.495591
55,0.507240
55,0.495221
55,0.493218
55,0.518170
55,0.534028
55,0.541027
55,0.560595
55,0.564538
54,0.542831
54,0.530952
55,0.532279
55,0.544929
56,0.560687
56,0.554884
57,0.546979
57,0.552985
57,0.528954
57,0.560441
57,0.550830
57,0.528350
57,0.519315
56,0.477821
56,0.521037
56,0.541685
55,0.518566
55,0.548831
55,0.559907
55,0.565808
56,0.579417
56,0.582544
55,0.582009
55,0.591052
56,0.573714
56,0.563813
56,0.578554
57,0.543408
57,0.558824
57,0.558966
57,0.566752
57,0.599238
57,0.597379
57,0.569919
57,0.565634
56,0.542177
56,0.545585
56,0.557671
56,0.589364
57,0.588926
57,0.594937
57,0.596982
55,0.537529
55,0.593337
55,0.583815
55,0.618922
55,0.633706
55,0.612060
54,0.560305
54,0.593200
54,0.583519
56,0.474520
56,0.466141
56,0.479333
56,0.480519
55,0.414103
55,0.438639
55,0.442690
54,0.400996
54,0.451759
54,0.450085
54,0.472164
54,0.477093
54,0.473894
53,0.461158
53,0.470889
53,0.476700
53,0.475548
53,0.467750
53,0.484410
53,0.499918
53,0.510231
53,0.495858
53,0.469299
53,0.479906
53,0.447189
54,0.442577
54,0.436243
54,0.458244
54,0.450236
54,0.459386
54,0.455500
55,0.438948
55,0.433971
55,0.436254
55,0.418924
55,0.404656
55,0.407499
54,0.370242
52,0.301466
52,0.310210
52,0.326499
51,0.312106
51,0.336436
52,0.321045
54,0.327875
54,0.330607
54,0.330671
54,0.342076
54,0.345812
54,0.353912
54,0.375673
53,0.353793
53,0.360361
53,0.366676
53,0.367173
53,0.380882
54,0.372295
54,0.371576
54,0.369905
54,0.377888
54,0.374997
54,0.365086
54,0.368789
55,0.380051
55,0.393125
55,0.380005
55,0.377306
55,0.382512
55,0.396398
56,0.391165
56,0.381813
56,0.375717
56,0.387789
56,0.403574
56,0.418075
56,0.432079
56,0.440178
56,0.438846
56,0.470611
56,0.466782
56,0.482011
56,0.486692
56,0.478043
56,0.476829
56,0.489983
56,0.474931
56,0.492351
56,0.467476
56,0.472317
56,0.482951
56,0.505255
56,0.506064
55,0.465071
55,0.498203
55,0.476022
56,0.478990
56,0.473007
57,0.465816
57,0.470025
57,0.465504
56,0.425817
57,0.434109
57,0.433354
57,0.440344
57,0.461108
57,0.464271
57,0.489027
57,0.474573
57,0.493082
58,0.438127
58,0.441131
58,0.452833
58,0.459725
59,0.440913
59,0.448555
59,0.479181
59,0.466420
59,0.474046
